task_id,baryon_fraction,scale_radius_over_rs,assembly_time_myr,sigma_over_m_cm2_g,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr,steps,mass_budget_residual_code
136,0.05,0.04,0.2,100.0,222.32691792513785,122.32691792513785,5.1503089019090575,86.77988196351457,69.63718684632784,686308,1.127986593019159e-13
137,0.05,0.04,0.5,100.0,221.39008911992548,121.39008911992548,5.110865762027099,72.13043022937478,72.13043022937478,676452,6.128431095930864e-14
138,0.05,0.04,1.0,100.0,204.33025636646823,104.33025636646823,4.392598597403679,68.1233966857649,68.1233966857649,651875,9.14823772291129e-14
139,0.05,0.07,0.0,100.0,184.95474322823367,84.95474322823367,3.5768347451992506,84.03533909630346,35.34184327352816,646467,9.325873406851315e-14
140,0.05,0.07,0.05,100.0,182.08120962953726,82.08120962953726,3.4558508609951377,74.53734597563378,34.60750930045191,642030,8.970602038971265e-14
141,0.05,0.07,0.2,100.0,177.42823869276828,77.42823869276828,3.259947636729885,58.07295595340025,33.436337500583,634372,8.704148513061227e-14
142,0.05,0.07,0.5,100.0,170.22750770636864,70.22750770636864,2.956776515209416,55.09579841355218,31.85767347259052,622781,1.092459456231154e-13
143,0.05,0.07,1.0,100.0,159.50093433274452,59.50093433274452,2.50515746626905,55.058071639627414,28.836247453826715,608387,5.1514348342607263e-14
144,0.05,0.1,0.0,100.0,164.17399790472905,64.17399790472905,2.7019066472523225,68.35685700775578,22.184209150010712,621930,8.970602038971265e-14
145,0.05,0.1,0.05,100.0,162.13722580288035,62.13722580288035,2.6161527864893865,61.12763571823318,21.768676518563137,618681,1.2256862191861728e-13
146,0.05,0.1,0.2,100.0,158.09180913099934,58.09180913099934,2.4458293135325113,55.19971121529418,20.918648531872062,612302,1.0746958878371515e-13
147,0.05,0.1,0.5,100.0,152.1893317092125,52.189331709212496,2.1973183355370542,55.07025006074043,19.624898813546878,603592,1.2434497875801753e-13
148,0.05,0.1,1.0,100.0,144.90564796049813,44.90564796049813,1.8906546683248104,55.05170342670225,17.64192304000517,594270,1.829647544582258e-13
149,0.05,0.15,0.0,100.0,146.43883843227832,46.43883843227832,1.955206319499118,59.96288386582437,12.818350850209258,601553,1.794120407794253e-13
150,0.05,0.15,0.05,100.0,145.30516158452926,45.30516158452926,1.9074753207959265,56.139346828667286,12.638222362696224,599684,1.794120407794253e-13
151,0.05,0.15,0.2,100.0,142.830125141842,42.83012514184199,1.8032692928869862,55.1129380357253,12.220327773191492,595776,1.4921397450962104e-13
152,0.05,0.15,0.5,100.0,139.1919921220792,39.1919921220792,1.6500936125393408,55.05653909807101,11.528540124133178,590546,2.4780177909633494e-13
153,0.05,0.15,1.0,100.0,134.91661329535947,34.91661329535947,1.4700880830632876,55.04825546625091,10.490883440082575,585239,3.3928415632544784e-13
154,0.05,0.2,0.0,100.0,137.96521104657597,37.96521104657597,1.598442662764537,57.64503810307735,8.837395249270163,591936,4.227729277772596e-13
155,0.05,0.2,0.05,100.0,137.2692150095463,37.269215009546286,1.5691392629404595,55.576943070489214,8.744650111407939,590767,4.476419235288631e-13
156,0.05,0.2,0.2,100.0,135.69387595614702,35.693875956147025,1.5028130373814004,55.08327363164256,8.516850104350485,588252,3.419486915845482e-13
157,0.05,0.2,0.5,100.0,133.3448704132715,33.34487041327151,1.4039132664780793,55.051710924541624,8.121617650066,584877,1.2523315717771766e-13
158,0.05,0.2,1.0,100.0,130.59078667891995,30.590786678919955,1.2879585590905005,55.04703623784978,7.509176304061983,581462,1.6697754290362354e-13
159,0.05,0.3,0.0,100.0,130.68221919615803,30.68221919615803,1.291808126425659,56.15858233133519,5.657518146775518,583573,2.4069635173873394e-13
160,0.05,0.3,0.05,100.0,130.3506156933711,30.35061569337111,1.2778466819514926,55.26533896510691,5.621134599024199,583006,1.341149413747189e-13
161,0.05,0.3,0.2,100.0,129.5777360351392,29.577736035139196,1.2453062644259543,55.0622432896168,5.528089088021281,581752,3.2152058793144533e-13
162,0.05,0.3,0.5,100.0,128.40692163609256,28.406921636092562,1.1960116698741363,55.0482448642474,5.35625211232203,580040,1.1191048088221578e-13
163,0.05,0.3,1.0,100.0,127.02931886325047,27.029318863250467,1.1380107004668523,55.046159360088815,5.072964562919748,578295,2.0339285811132868e-13
