task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
77,100000000.0,10.0,5.0,30.0,10000.0,27889.93165000691,2.788993165000691,17201.006869960067,688.9247800471582,0.9614909216242546,0.33333333333333337,5.417888360170764e-14,298140
78,100000000.0,10.0,5.0,50.0,10000.0,22649.22922082107,2.264922922082107,12026.333197224187,622.8960235965295,0.9507562071393587,0.33333333333333337,4.085620730620576e-14,290531
79,100000000.0,10.0,5.0,100.0,10000.0,19569.889793509472,1.9569889793509472,8986.37525075035,583.5145427587265,0.93902599138029,0.33333333333333337,1.9539925233402755e-14,286947
80,100000000.0,10.0,8.0,10.0,10000.0,98711.56800410459,9.871156800410459,87218.13042237432,1493.437581733286,0.9831652442254074,0.20833333333333331,2.2026824808563106e-13,799807
81,100000000.0,10.0,8.0,30.0,10000.0,39125.96236897703,3.912596236897703,28278.115929707034,847.8464392688052,0.9708903545047128,0.20833333333333331,1.0658141036401503e-13,658557
82,100000000.0,10.0,8.0,50.0,10000.0,30877.78885628078,3.0877788856280777,20124.662262738362,753.1265935423781,0.9639268986420538,0.20833333333333331,1.3589129821411916e-13,636679
83,100000000.0,10.0,8.0,100.0,10000.0,26139.28322954939,2.613928322954939,15440.06184619426,699.2213833552522,0.956675809364636,0.20833333333333331,8.704148513061227e-14,625137
84,100000000.0,20.0,3.0,10.0,10000.0,81666.86066224924,8.166686066224925,70349.634039968,1317.226622281524,0.9816201433952989,0.5555555555555555,5.861977570020827e-14,461480
85,100000000.0,20.0,3.0,30.0,10000.0,35917.484021054275,3.5917484021054276,25103.004187571194,814.479833481264,0.9685741164990617,0.5555555555555555,9.85878045867139e-14,391797
86,100000000.0,20.0,3.0,50.0,10000.0,29750.330756633193,2.9750330756633194,19006.858546753854,743.4722098787115,0.9623564678971444,0.5555555555555555,8.08242361927114e-14,382062
87,100000000.0,20.0,3.0,100.0,10000.0,26430.199758077986,2.643019975807799,15722.562129162941,707.6376289147177,0.9569306740432579,0.5555555555555555,7.549516567451064e-14,377720
88,100000000.0,20.0,5.0,10.0,10000.0,146141.53516205927,14.614153516205928,134118.2356384586,2023.299523598298,0.9851382642248584,0.3333333333333333,4.760636329592671e-13,1177365
89,100000000.0,20.0,5.0,30.0,10000.0,56942.45836758794,5.694245836758794,45837.1646162599,1105.293751331298,0.97645428488911,0.3333333333333333,1.6076029396572267e-13,949490
90,100000000.0,20.0,5.0,50.0,10000.0,45976.94421820547,4.597694421820547,34985.53798472791,991.4062334787601,0.972443289583892,0.3333333333333333,4.796163466380676e-14,917540
91,100000000.0,20.0,5.0,100.0,10000.0,39289.358159445685,3.9289358159445684,28366.453725862422,922.9044335812958,0.9684901106893792,0.3333333333333333,1.7408297026122455e-13,896823
92,100000000.0,20.0,8.0,10.0,10000.0,247406.710411384,24.740671041138402,234188.77829173655,3217.932119634171,0.9864454879389409,0.2083333333333333,2.611244553918368e-13,2867067
93,100000000.0,20.0,8.0,30.0,10000.0,100606.89423768848,10.060689423768848,88908.7550973236,1698.1391403635844,0.9812581685460915,0.2083333333333333,3.170796958329447e-13,2254785
94,100000000.0,20.0,8.0,50.0,10000.0,79765.1251041086,7.976512510410861,68278.65871205718,1486.466392052244,0.9786932741848708,0.2083333333333333,4.849454171562684e-13,2150374
95,100000000.0,20.0,8.0,100.0,10000.0,65844.24191129385,6.5844241911293855,54502.490947551785,1341.7509637474104,0.9759733337257335,0.2083333333333333,2.5224267119483557e-13,2070515
96,100000000.0,30.0,3.0,10.0,10000.0,141276.02990762805,14.127602990762805,129313.48625938596,1962.5436482427122,0.9850502513701623,0.5555555555555555,2.3447910280083306e-13,970805
97,100000000.0,30.0,3.0,30.0,10000.0,58990.27210411253,5.899027210411253,47851.10366347094,1139.1684406375448,0.9767470481033322,0.5555555555555555,1.2878587085651816e-13,800619
98,100000000.0,30.0,3.0,50.0,10000.0,49197.916427302036,4.919791642730203,38155.118369682285,1042.7980576194282,0.973396594700288,0.5555555555555555,6.572520305780927e-14,778397
99,100000000.0,30.0,3.0,100.0,10000.0,43206.66992694551,4.320666992694552,32220.73860613233,985.9313208130477,0.9703092383854742,0.5555555555555555,5.1514348342607263e-14,763517
100,100000000.0,30.0,5.0,10.0,10000.0,254664.96331052936,25.466496331052937,241403.49037975707,3261.472930748461,0.9866696363605082,0.3333333333333333,5.222489107836736e-13,2554129
101,100000000.0,30.0,5.0,30.0,10000.0,108517.00292920282,10.851700292920283,96716.34464227055,1800.6582869367398,0.9817223602688535,0.3333333333333333,1.7319479184152442e-13,2042676
102,100000000.0,30.0,5.0,50.0,10000.0,87721.54545122475,8.772154545122476,76125.00244080258,1596.5430104210095,0.9794581669580399,0.3333333333333333,1.6342482922482304e-13,1954792
103,100000000.0,30.0,5.0,100.0,10000.0,73641.20723243657,7.364120723243658,62186.09374155498,1455.1134908825575,0.9771356711451578,0.3333333333333333,3.2596148002994596e-13,1885629
